d_rad_kills,d_dire_kills,d_rad_gold_per_min,d_dire_gold_per_min,d_rad_level,d_dire_level,d_rad_leaver_status,d_dire_leaver_status,d_rad_xp_per_min,d_dire_xp_per_min,d_rad_denies,d_dire_denies,d_rad_win
55,10,2414,1244,96,70,0,0,2788,1630,51,24,1
50,39,2080,2046,117,112,0,1,2770,2523,58,29,1
16,65,1235,2239,62,98,2,0,1428,3070,8,25,0
33,20,2653,1606,85,70,0,0,2817,1980,53,18,1
33,19,2509,1539,97,83,0,0,2689,2130,46,42,1
37,25,2302,1846,109,98,0,0,2810,2284,69,25,1
52,32,2191,1851,116,112,0,0,2791,2619,39,31,1
36,32,5191,4306,125,125,0,0,7088,6282,34,12,1
30,40,1627,2129,89,96,2,0,2300,2617,24,41,0
33,21,2341,1760,109,98,0,0,2891,2386,58,22,1
55,39,2307,1732,122,120,0,2,2864,2745,13,4,1
53,49,2026,2025,113,112,1,3,2532,2588,12,34,1
44,27,2494,2282,119,109,0,3,3099,2602,59,40,1
40,43,2384,2340,120,123,2,0,3031,2881,43,21,0
25,46,1666,2531,100,115,0,0,2264,3071,20,68,0
43,35,3964,4771,114,125,5,0,7354,6351,11,16,0
44,29,2200,1672,100,91,0,0,2603,2233,41,47,1
31,41,2218,2754,117,122,0,0,2706,3207,33,78,0
49,34,2088,2368,121,120,0,1,2823,2672,26,63,0
